time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/06/10/18:44:21.086918,34,1623343459,695469011,world,-0.0919380187988,0.0016363710165,0.231581628323,0.00117286725435,0.00736639788374,-0.00465198699385,-0.99996137619
2021/06/10/18:44:21.087376,35,1623343459,715517803,world,-0.0919465869665,0.00163568556309,0.231588214636,0.00119970540982,0.0073875146918,-0.00465303799137,-0.999961256981
2021/06/10/18:44:21.088068,36,1623343459,735524011,world,-0.0919409990311,0.00164576247334,0.23158955574,0.00119277997874,0.00739207537845,-0.00465310551226,-0.999961137772
2021/06/10/18:44:21.088198,37,1623343459,765518595,world,-0.0919523835182,0.00162993744016,0.231583744287,0.00125265528914,0.00739143555984,-0.00466211419553,-0.999961078167
2021/06/10/18:44:21.088923,38,1623343459,775586928,world,-0.0919468700886,0.00164287909865,0.231586277485,0.00117546448018,0.00739961722866,-0.00465181004256,-0.999961197376
2021/06/10/18:44:21.089239,39,1623343459,795593386,world,-0.0919434726238,0.00163471326232,0.231582984328,0.00122455798555,0.00738703086972,-0.00465952092782,-0.999961197376
2021/06/10/18:44:21.091232,40,1623343459,815592511,world,-0.091943770647,0.00163515284657,0.231580764055,0.00121974491049,0.00737697444856,-0.00467690452933,-0.999961197376
2021/06/10/18:44:21.091531,41,1623343459,835529928,world,-0.0919575318694,0.00163510069251,0.231581673026,0.00123190076556,0.00736990151927,-0.00467846821994,-0.999961137772
2021/06/10/18:44:21.092289,42,1623343459,855449386,world,-0.0919545292854,0.00163300707936,0.231577157974,0.00118747900706,0.00738400779665,-0.00468515278772,-0.999961137772
2021/06/10/18:44:21.093147,43,1623343459,875440845,world,-0.0919502824545,0.00162776187062,0.231588363647,0.00124515965581,0.00737463263795,-0.00467311870307,-0.999961137772
